"init_locations","moves","final_locations","stars_time","end_time","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","button_pressed"
"[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object]","[object Object]","753.3000000044703","7375.20000000298","6621.89999999851","order","0","6642","0.0-0.0","1688277877179","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","7377.10000000149","7591.20000000298","214.10000000149012","order","1","6858","0.0-1.0","1688277877179","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","7592.9000000059605","7814.60000000149","221.69999999552965","order","2","7081","0.0-2.0","1688277877179","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","7815.60000000149","8027.10000000149","211.5","order","3","7294","0.0-3.0","1688277877179","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","8028.60000000149","8427.30000000447","398.70000000298023","order","4","7694","0.0-4.0","1688277877179","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","8428.60000000149","8667","238.39999999850988","order","5","7934","0.0-5.0","1688277877179","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","8667.90000000596","8879.30000000447","211.39999999850988","order","6","8146","0.0-6.0","1688277877179","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","8880.5","9083","202.5","order","7","8350","0.0-7.0","1688277877179","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","9084","9307.10000000149","223.10000000149012","order","8","8574","0.0-8.0","1688277877179","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","9308.5","9531.30000000447","222.80000000447035","order","9","8798","0.0-9.0","1688277877179","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","9532.80000000447","9770.90000000596","238.10000000149012","order","10","9038","0.0-10.0","1688277877179","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","9772.10000000149","9998.80000000447","226.70000000298023","order","11","9266","0.0-11.0","1688277877179","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","10000","10234.80000000447","234.80000000447035","order","12","9502","0.0-12.0","1688277877179","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","10236","10459","223","order","13","9726","0.0-13.0","1688277877179","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","10460","10682.80000000447","222.80000000447035","order","14","9949","0.0-14.0","1688277877179","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","10683.80000000447","10907.10000000149","223.29999999701977","order","15","10174","0.0-15.0","1688277877179","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","10908.30000000447","11150.90000000596","242.60000000149012","order","16","10418","0.0-16.0","1688277877179","conditionB",""
"[object Object],[object Object],[object Object],[object Object]","","[object Object]","11152","11374.70000000298","222.70000000298023","order","17","10641","0.0-17.0","1688277877179","conditionB",""
"","","","","","1502.8999999985099","html-button-response","18","12146","0.0-18.0","1688277877179","conditionB","2"
