PID,practice,run,trial,item_id,stimulus,path,outcome,iti,isi,response,response_acc,response_rt
15673,1,0,NaN,prac1,NaN,Stimuli/Practice_stims/Outcome_learning/nizar-albusaidy-B2r2SWAf5CE-unsplash.jpg,gain,1500,1000,NaN,NaN,NaN
15673,1,0,NaN,prac2,NaN,Stimuli/Practice_stims/Outcome_learning/randy-fath-epf1tdtIIkM-unsplash.jpg,no-gain,1000,1500,NaN,NaN,NaN
15673,1,0,NaN,prac2,NaN,Stimuli/Practice_stims/Outcome_learning/randy-fath-epf1tdtIIkM-unsplash.jpg,no-gain,2000,1000,NaN,NaN,NaN
15673,1,0,NaN,prac1,NaN,Stimuli/Practice_stims/Outcome_learning/nizar-albusaidy-B2r2SWAf5CE-unsplash.jpg,gain,1000,2000,NaN,NaN,NaN
15673,0,1,1,F,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,3000,1500,NaN,NaN,NaN
15673,0,1,2,C,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,2000,1500,NaN,NaN,NaN
15673,0,1,3,F,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,1500,3000,NaN,NaN,NaN
15673,0,1,4,G,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,gain,1000,1000,NaN,NaN,NaN
15673,0,1,5,J,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,3000,2000,NaN,NaN,NaN
15673,0,1,6,E,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,1000,1000,NaN,NaN,NaN
15673,0,1,7,J,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,2000,1000,NaN,NaN,NaN
15673,0,1,8,A,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,1000,3500,NaN,NaN,NaN
15673,0,1,9,F,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,1000,3000,NaN,NaN,NaN
15673,0,1,10,B,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,gain,3000,3000,NaN,NaN,NaN
15673,0,1,11,A,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,1000,2000,NaN,NaN,NaN
15673,0,1,12,K,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,2000,1000,NaN,NaN,NaN
15673,0,1,13,K,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,2000,1000,NaN,NaN,NaN
15673,0,1,14,C,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,1000,1000,NaN,NaN,NaN
15673,0,1,15,G,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,gain,1000,1500,NaN,NaN,NaN
15673,0,1,16,A,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,3000,3500,NaN,NaN,NaN
15673,0,1,17,J,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,3500,2000,NaN,NaN,NaN
15673,0,1,18,J,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,1000,1500,NaN,NaN,NaN
15673,0,1,19,K,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,1500,2000,NaN,NaN,NaN
15673,0,1,20,I,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,gain,1000,3500,NaN,NaN,NaN
15673,0,1,21,E,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,1000,1500,NaN,NaN,NaN
15673,0,1,22,B,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,gain,3500,3500,NaN,NaN,NaN
15673,0,1,23,L,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,gain,1000,2000,NaN,NaN,NaN
15673,0,1,24,D,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,gain,2000,1000,NaN,NaN,NaN
15673,0,1,25,L,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,gain,1500,1500,NaN,NaN,NaN
15673,0,1,26,B,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,gain,2000,1500,NaN,NaN,NaN
15673,0,1,27,L,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,gain,1500,3000,NaN,NaN,NaN
15673,0,1,28,F,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,1000,1000,NaN,NaN,NaN
15673,0,1,29,B,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,gain,1000,1000,NaN,NaN,NaN
15673,0,1,30,G,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,gain,2000,3000,NaN,NaN,NaN
15673,0,1,31,D,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,gain,2000,3000,NaN,NaN,NaN
15673,0,1,32,H,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,gain,1500,2000,NaN,NaN,NaN
15673,0,1,33,C,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,3500,1000,NaN,NaN,NaN
15673,0,1,34,H,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,gain,1000,2000,NaN,NaN,NaN
15673,0,1,35,B,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,gain,3000,1500,NaN,NaN,NaN
15673,0,1,36,J,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,2000,2000,NaN,NaN,NaN
15673,0,2,37,I,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,gain,3000,1000,NaN,NaN,NaN
15673,0,2,38,F,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,1000,1000,NaN,NaN,NaN
15673,0,2,39,L,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,gain,3500,1500,NaN,NaN,NaN
15673,0,2,40,D,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,gain,1500,1500,NaN,NaN,NaN
15673,0,2,41,G,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,gain,1000,2000,NaN,NaN,NaN
15673,0,2,42,B,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,gain,3000,2000,NaN,NaN,NaN
15673,0,2,43,F,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,1500,2000,NaN,NaN,NaN
15673,0,2,44,H,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,gain,3000,1500,NaN,NaN,NaN
15673,0,2,45,D,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,gain,1500,2000,NaN,NaN,NaN
15673,0,2,46,K,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,3000,1500,NaN,NaN,NaN
15673,0,2,47,E,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,1000,1000,NaN,NaN,NaN
15673,0,2,48,A,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,2000,3000,NaN,NaN,NaN
15673,0,2,49,E,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,1000,1000,NaN,NaN,NaN
15673,0,2,50,H,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,gain,1000,1500,NaN,NaN,NaN
15673,0,2,51,I,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,gain,3000,1500,NaN,NaN,NaN
15673,0,2,52,C,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,1500,3000,NaN,NaN,NaN
15673,0,2,53,I,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,gain,2000,1500,NaN,NaN,NaN
15673,0,2,54,E,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,1000,1000,NaN,NaN,NaN
15673,0,2,55,H,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,gain,1500,3000,NaN,NaN,NaN
15673,0,2,56,K,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,3500,3500,NaN,NaN,NaN
15673,0,2,57,I,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,gain,1500,1000,NaN,NaN,NaN
15673,0,2,58,E,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,3500,3500,NaN,NaN,NaN
15673,0,2,59,I,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,gain,1500,1500,NaN,NaN,NaN
15673,0,2,60,G,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,gain,1500,1000,NaN,NaN,NaN
15673,0,2,61,D,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,gain,2000,1000,NaN,NaN,NaN
15673,0,2,62,G,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,gain,1000,1000,NaN,NaN,NaN
15673,0,2,63,K,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,1500,1000,NaN,NaN,NaN
15673,0,2,64,A,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,1500,1000,NaN,NaN,NaN
15673,0,2,65,J,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,1000,1500,NaN,NaN,NaN
15673,0,2,66,D,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,gain,1000,1500,NaN,NaN,NaN
15673,0,2,67,L,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,gain,1500,1000,NaN,NaN,NaN
15673,0,2,68,A,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,3000,1000,NaN,NaN,NaN
15673,0,2,69,C,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,3000,3000,NaN,NaN,NaN
15673,0,2,70,H,33,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,gain,1500,3000,NaN,NaN,NaN
