"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","responses","view_history","initial_locations","moves","final_locations","stimulus","button_pressed"
"true","fullscreen","0","2108","0.0-0.0","23.8.2023, 1:07:45","conditionA","","","","","","","",""
"","survey-text","1","3156","0.0-1.0","23.8.2023, 1:07:45","conditionA","1042.1000000238419","{""Q0"":""""}","","","","","",""
"","instructions","2","8170","0.0-2.0","23.8.2023, 1:07:45","conditionA","5014","","[{""page_index"":0,""viewing_time"":1121.6000000238419},{""page_index"":1,""viewing_time"":721},{""page_index"":2,""viewing_time"":1649.8999999761581},{""page_index"":3,""viewing_time"":1521.1000000238419}]","","","","",""
"","order","3","12031","0.0-3.0","23.8.2023, 1:07:45","conditionA","3859.899999976158","","","[""test_3"",""test_4"",""test_1"",""test_2""]","[{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":316,""y"":397,""move_time"":905},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":477,""y"":397,""move_time"":572},{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":639,""y"":397,""move_time"":582},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":800,""y"":397,""move_time"":655}]","[{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":316,""y"":397,""move_time"":905},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":477,""y"":397,""move_time"":572},{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":639,""y"":397,""move_time"":582},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":800,""y"":397,""move_time"":655}]","",""
"","instructions","4","13027","0.0-4.0","23.8.2023, 1:07:45","conditionA","995","","[{""page_index"":0,""viewing_time"":994.6000000238419}]","","","","",""
"","order","5","14675","0.0-5.0","23.8.2023, 1:07:45","conditionA","1647","","","[""7_3"",""7_1"",""7_4"",""7_2""]","[{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":639,""y"":397,""move_time"":807}]","[{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":639,""y"":397,""move_time"":807}]","",""
"","html-button-response","6","15539","0.0-6.0","23.8.2023, 1:07:45","conditionA","861.7999999523163","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","survey-text","7","17912","0.0-7.0","23.8.2023, 1:07:45","conditionA","2368.699999988079","{""Q0"":""k""}","","","","","",""
"","order","8","19675","0.0-8.0","23.8.2023, 1:07:45","conditionA","1762.300000011921","","","[""2_5"",""2_6"",""2_7"",""2_8""]","[{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":477,""y"":397,""move_time"":810}]","[{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":477,""y"":397,""move_time"":810}]","",""
"","html-button-response","9","20460","0.0-9.0","23.8.2023, 1:07:45","conditionA","783","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","survey-text","10","21357","0.0-10.0","23.8.2023, 1:07:45","conditionA","895","{""Q0"":""z""}","","","","","",""
"","order","11","23760","0.0-11.0","23.8.2023, 1:07:45","conditionA","2402.5","","","[""3_2"",""3_1"",""3_4"",""3_3""]","[{""src"":""http://34.125.186.26/images/3_1.jpg"",""x"":639,""y"":397,""move_time"":895}]","[{""src"":""http://34.125.186.26/images/3_1.jpg"",""x"":639,""y"":397,""move_time"":895}]","",""
"","html-button-response","12","24851","0.0-12.0","23.8.2023, 1:07:45","conditionA","1089.2999999523163","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","survey-text","13","26084","0.0-13.0","23.8.2023, 1:07:45","conditionA","1232","{""Q0"":""""}","","","","","",""
"","order","14","28384","0.0-14.0","23.8.2023, 1:07:45","conditionA","2299.699999988079","","","[""5_5"",""5_6"",""5_7"",""5_8""]","[{""src"":""http://34.125.186.26/images/5_7.jpg"",""x"":477,""y"":397,""move_time"":921}]","[{""src"":""http://34.125.186.26/images/5_7.jpg"",""x"":477,""y"":397,""move_time"":921}]","",""
"","html-button-response","15","30159","0.0-15.0","23.8.2023, 1:07:45","conditionA","1773.300000011921","","","","","","<p>How difficult was it to order the pictures?</p>","3"
"","survey-text","16","31307","0.0-16.0","23.8.2023, 1:07:45","conditionA","1147.1000000238419","{""Q0"":""""}","","","","","",""
"","order","17","33003","0.0-17.0","23.8.2023, 1:07:45","conditionA","1694.1000000238419","","","[""9_1"",""9_2"",""9_3"",""9_4""]","[{""src"":""http://34.125.186.26/images/9_3.jpg"",""x"":639,""y"":397,""move_time"":825}]","[{""src"":""http://34.125.186.26/images/9_3.jpg"",""x"":639,""y"":397,""move_time"":825}]","",""
"","html-button-response","18","33919","0.0-18.0","23.8.2023, 1:07:45","conditionA","914.6999999880791","","","","","","<p>How difficult was it to order the pictures?</p>","3"
"","survey-text","19","35104","0.0-19.0","23.8.2023, 1:07:45","conditionA","1183.7000000476837","{""Q0"":""""}","","","","","",""
"","order","20","38354","0.0-20.0","23.8.2023, 1:07:45","conditionA","3249.300000011921","","","[""1_4"",""1_2"",""1_1"",""1_3""]","[{""src"":""http://34.125.186.26/images/1_1.jpg"",""x"":639,""y"":397,""move_time"":2273}]","[{""src"":""http://34.125.186.26/images/1_1.jpg"",""x"":639,""y"":397,""move_time"":2273}]","",""
"","html-button-response","21","39283","0.0-21.0","23.8.2023, 1:07:45","conditionA","927.0999999642372","","","","","","<p>How difficult was it to order the pictures?</p>","3"
"","survey-text","22","40393","0.0-22.0","23.8.2023, 1:07:45","conditionA","1108.1000000238419","{""Q0"":""""}","","","","","",""
"","order","23","42151","0.0-23.0","23.8.2023, 1:07:45","conditionA","1757.1000000238419","","","[""8_2"",""8_4"",""8_1"",""8_3""]","[{""src"":""http://34.125.186.26/images/8_1.jpg"",""x"":639,""y"":397,""move_time"":806}]","[{""src"":""http://34.125.186.26/images/8_1.jpg"",""x"":639,""y"":397,""move_time"":806}]","",""
"","html-button-response","24","43386","0.0-24.0","23.8.2023, 1:07:45","conditionA","1234.6000000238419","","","","","","<p>How difficult was it to order the pictures?</p>","3"
"","survey-text","25","44651","0.0-25.0","23.8.2023, 1:07:45","conditionA","1258.7999999523163","{""Q0"":""""}","","","","","",""
"","order","26","46703","0.0-26.0","23.8.2023, 1:07:45","conditionA","2050.899999976158","","","[""6_5"",""6_6"",""6_7"",""6_8""]","[{""src"":""http://34.125.186.26/images/6_7.jpg"",""x"":639,""y"":397,""move_time"":747}]","[{""src"":""http://34.125.186.26/images/6_7.jpg"",""x"":639,""y"":397,""move_time"":747}]","",""
"","html-button-response","27","47550","0.0-27.0","23.8.2023, 1:07:45","conditionA","846.2000000476837","","","","","","<p>How difficult was it to order the pictures?</p>","3"
"","survey-text","28","48819","0.0-28.0","23.8.2023, 1:07:45","conditionA","1265.8999999761581","{""Q0"":""""}","","","","","",""
"","order","29","50258","0.0-29.0","23.8.2023, 1:07:45","conditionA","1437.5","","","[""4_5"",""4_6"",""4_7"",""4_8""]","[{""src"":""http://34.125.186.26/images/4_7.jpg"",""x"":639,""y"":397,""move_time"":696}]","[{""src"":""http://34.125.186.26/images/4_7.jpg"",""x"":639,""y"":397,""move_time"":696}]","",""
"","html-button-response","30","51202","0.0-30.0","23.8.2023, 1:07:45","conditionA","942.6999999880791","","","","","","<p>How difficult was it to order the pictures?</p>","3"
"","survey-text","31","51959","0.0-31.0","23.8.2023, 1:07:45","conditionA","754.8999999761581","{""Q0"":""""}","","","","","",""
"","survey-text","32","52711","0.0-32.0","23.8.2023, 1:07:45","conditionA","749.2000000476837","{""Q0"":""""}","","","","","",""
"","instructions","33","53815","0.0-33.0","23.8.2023, 1:07:45","conditionA","1103.6000000238419","","[{""page_index"":0,""viewing_time"":1103.3999999761581}]","","","","",""
