"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","responses","view_history","initial_locations","moves","final_locations_3","number_of_moves","stimulus","button_pressed"
"true","fullscreen","0","10738","0.0-0.0","23.8.2023, 2:31:37","conditionB","","","","","","","","",""
"","survey-text","1","11756","0.0-1.0","23.8.2023, 2:31:37","conditionB","1013.6000000238419","{""Q0"":""""}","","","","","","",""
"","instructions","2","15672","0.0-2.0","23.8.2023, 2:31:37","conditionB","3914.099999964237","","[{""page_index"":0,""viewing_time"":1077.5999999642372},{""page_index"":1,""viewing_time"":880},{""page_index"":2,""viewing_time"":900},{""page_index"":3,""viewing_time"":1056.1000000238419}]","","","","","",""
"","order","3","17900","0.0-3.0","23.8.2023, 2:31:37","conditionB","2227","","","[""test_3"",""test_4"",""test_1"",""test_2""]","[{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":174,""y"":374,""move_time"":1240}]","[{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":13,""y"":374},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":174,""y"":374},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":336,""y"":374},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":497,""y"":374}]","1","",""
"","instructions","4","18763","0.0-4.0","23.8.2023, 2:31:37","conditionB","862.5","","[{""page_index"":0,""viewing_time"":862.2000000476837}]","","","","","",""
"","order","5","21024","0.0-5.0","23.8.2023, 2:31:37","conditionB","2259","","","[""7_3"",""7_1"",""7_4"",""7_2""]","[{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":174,""y"":374,""move_time"":1548}]","[{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":13,""y"":374},{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":174,""y"":374},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":336,""y"":374},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":497,""y"":374}]","1","",""
"","html-button-response","6","23740","0.0-6.0","23.8.2023, 2:31:37","conditionB","2714.2000000476837","","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","survey-text","7","24637","0.0-7.0","23.8.2023, 2:31:37","conditionB","891.8000000119209","{""Q0"":""""}","","","","","","",""
"","order","8","26928","0.0-8.0","23.8.2023, 2:31:37","conditionB","2290","","","[""2_5"",""2_6"",""2_7"",""2_8""]","[{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":174,""y"":374,""move_time"":1428}]","[{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":13,""y"":374},{""src"":""http://34.125.186.26/images/2_6.jpg"",""x"":174,""y"":374},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":336,""y"":374},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":497,""y"":374}]","1","",""
"","html-button-response","9","27760","0.0-9.0","23.8.2023, 2:31:37","conditionB","830.8000000119209","","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","survey-text","10","28912","0.0-10.0","23.8.2023, 2:31:37","conditionB","1150","{""Q0"":""""}","","","","","","",""
"","order","11","30932","0.0-11.0","23.8.2023, 2:31:37","conditionB","2019","","","[""3_2"",""3_1"",""3_4"",""3_3""]","[{""src"":""http://34.125.186.26/images/3_1.jpg"",""x"":174,""y"":374,""move_time"":1213}]","[{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":13,""y"":374},{""src"":""http://34.125.186.26/images/3_1.jpg"",""x"":174,""y"":374},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":336,""y"":374},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":497,""y"":374}]","1","",""
"","html-button-response","12","31732","0.0-12.0","23.8.2023, 2:31:37","conditionB","798.0999999642372","","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","survey-text","13","32392","0.0-13.0","23.8.2023, 2:31:37","conditionB","657.3999999761581","{""Q0"":""""}","","","","","","",""
"","order","14","35292","0.0-14.0","23.8.2023, 2:31:37","conditionB","2898","","","[""4_5"",""5_6"",""5_7"",""5_8""]","[{""src"":""http://34.125.186.26/images/5_6.jpg"",""x"":174,""y"":374,""move_time"":837}]","[{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":13,""y"":374},{""src"":""http://34.125.186.26/images/5_6.jpg"",""x"":174,""y"":374},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":336,""y"":374},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":497,""y"":374}]","1","",""
"","html-button-response","15","36900","0.0-15.0","23.8.2023, 2:31:37","conditionB","1606.199999988079","","","","","","","<p>How difficult was it to order the pictures?</p>","4"
"","survey-text","16","37620","0.0-16.0","23.8.2023, 2:31:37","conditionB","717.8000000119209","{""Q0"":""""}","","","","","","",""
"","order","17","39319","0.0-17.0","23.8.2023, 2:31:37","conditionB","1698","","","[""9_1"",""9_2"",""9_3"",""9_4""]","[{""src"":""http://34.125.186.26/images/9_2.jpg"",""x"":174,""y"":374,""move_time"":908}]","[{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":13,""y"":374},{""src"":""http://34.125.186.26/images/9_2.jpg"",""x"":174,""y"":374},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":336,""y"":374},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":497,""y"":374}]","1","",""
"","html-button-response","18","40263","0.0-18.0","23.8.2023, 2:31:37","conditionB","942.9000000357628","","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","survey-text","19","40888","0.0-19.0","23.8.2023, 2:31:37","conditionB","622.6999999880791","{""Q0"":""""}","","","","","","",""
"","order","20","44528","0.0-20.0","23.8.2023, 2:31:37","conditionB","3638","","","[""1_4"",""1_2"",""1_1"",""1_3""]","[{""src"":""http://34.125.186.26/images/1_2.jpg"",""x"":174,""y"":374,""move_time"":1089}]","[{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":13,""y"":374},{""src"":""http://34.125.186.26/images/1_2.jpg"",""x"":174,""y"":374},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":336,""y"":374},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":497,""y"":374}]","1","",""
"","html-button-response","21","45680","0.0-21.0","23.8.2023, 2:31:37","conditionB","1150","","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","survey-text","22","46863","0.0-22.0","23.8.2023, 2:31:37","conditionB","1181.300000011921","{""Q0"":""""}","","","","","","",""
"","order","23","49253","0.0-23.0","23.8.2023, 2:31:37","conditionB","2389","","","[""8_2"",""8_4"",""8_1"",""8_3""]","[{""src"":""http://34.125.186.26/images/8_4.jpg"",""x"":174,""y"":374,""move_time"":1452}]","[{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":13,""y"":374},{""src"":""http://34.125.186.26/images/8_4.jpg"",""x"":174,""y"":374},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":336,""y"":374},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":497,""y"":374}]","1","",""
"","html-button-response","24","50232","0.0-24.0","23.8.2023, 2:31:37","conditionB","977.1999999880791","","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","survey-text","25","51368","0.0-25.0","23.8.2023, 2:31:37","conditionB","1134.1000000238419","{""Q0"":""""}","","","","","","",""
"","order","26","53244","0.0-26.0","23.8.2023, 2:31:37","conditionB","1875","","","[""6_5"",""6_6"",""6_7"",""6_8""]","[{""src"":""http://34.125.186.26/images/6_6.jpg"",""x"":174,""y"":374,""move_time"":1042}]","[{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":13,""y"":374},{""src"":""http://34.125.186.26/images/6_6.jpg"",""x"":174,""y"":374},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":336,""y"":374},{""src"":""http://34.125.186.26/images/blank.jpg"",""x"":497,""y"":374}]","1","",""
"","html-button-response","27","54621","0.0-27.0","23.8.2023, 2:31:37","conditionB","1375.3999999761581","","","","","","","<p>How difficult was it to order the pictures?</p>","2"
"","survey-text","28","55339","0.0-28.0","23.8.2023, 2:31:37","conditionB","716.5","{""Q0"":""""}","","","","","","",""
