"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","view_history","rt","initial_locations","moves","final_locations_3","number_of_moves","stimulus","button_pressed","responses"
"true","fullscreen","0","3694","0.0-0.0","9/1/2023, 11:10:10 PM","conditionS","","","","","","","","",""
"","instructions","1","87632","0.0-1.0","9/1/2023, 11:10:10 PM","conditionS","[{""page_index"":0,""viewing_time"":14965.799999952316},{""page_index"":1,""viewing_time"":59321.90000009537},{""page_index"":2,""viewing_time"":8541.199999928474},{""page_index"":3,""viewing_time"":1108.3000000715256}]","83937.89999997616","","","","","","",""
"","order","2","101536","0.0-2.0","9/1/2023, 11:10:10 PM","conditionS","","13902","[""test_3"",""test_4"",""test_2"",""test_1""]","[{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":636,""y"":576,""move_time"":8765},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":798,""y"":576,""move_time"":1163},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":960,""y"":576,""move_time"":1234},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":1122,""y"":576,""move_time"":1220}]","[{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":636,""y"":576},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":798,""y"":576},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":960,""y"":576},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":1122,""y"":576}]","4","","",""
"","instructions","3","104047","0.0-3.0","9/1/2023, 11:10:10 PM","conditionS","[{""page_index"":0,""viewing_time"":2510.7999999523163}]","2511","","","","","","",""
"","order","4","191940","0.0-4.0","9/1/2023, 11:10:10 PM","conditionS","","87892","[""7_5"",""7_6"",""7_7"",""7_8""]","[{""src"":""http://34.125.186.26/images/7_7.jpg"",""x"":636,""y"":576,""move_time"":36206},{""src"":""http://34.125.186.26/images/7_6.jpg"",""x"":798,""y"":576,""move_time"":1371},{""src"":""http://34.125.186.26/images/7_5.jpg"",""x"":960,""y"":576,""move_time"":1540},{""src"":""http://34.125.186.26/images/7_8.jpg"",""x"":1122,""y"":576,""move_time"":1951},{""src"":""http://34.125.186.26/images/7_5.jpg"",""x"":798,""y"":576,""move_time"":22141}]","[{""src"":""http://34.125.186.26/images/7_7.jpg"",""x"":636,""y"":576},{""src"":""http://34.125.186.26/images/7_5.jpg"",""x"":798,""y"":576},{""src"":""http://34.125.186.26/images/7_6.jpg"",""x"":960,""y"":576},{""src"":""http://34.125.186.26/images/7_8.jpg"",""x"":1122,""y"":576}]","5","","",""
"","html-button-response","5","195285","0.0-5.0","9/1/2023, 11:10:10 PM","conditionS","","3343.100000023842","","","","","<p>How difficult was it to order the pictures?</p>","4",""
"","survey-text","6","237213","0.0-6.0","9/1/2023, 11:10:10 PM","conditionS","","41923.09999990463","","","","","","","{""Q0"":""I tried to fit in the last frame with the two individuals eating a burger. It didn't seem to fit in well with the others.""}"
"","order","7","250552","0.0-7.0","9/1/2023, 11:10:10 PM","conditionS","","13337","[""2_1"",""2_3"",""2_2"",""2_4""]","[{""src"":""http://34.125.186.26/images/2_1.jpg"",""x"":636,""y"":576,""move_time"":7710},{""src"":""http://34.125.186.26/images/2_2.jpg"",""x"":798,""y"":576,""move_time"":965},{""src"":""http://34.125.186.26/images/2_3.jpg"",""x"":960,""y"":576,""move_time"":1004},{""src"":""http://34.125.186.26/images/2_4.jpg"",""x"":1122,""y"":576,""move_time"":619}]","[{""src"":""http://34.125.186.26/images/2_1.jpg"",""x"":636,""y"":576},{""src"":""http://34.125.186.26/images/2_2.jpg"",""x"":798,""y"":576},{""src"":""http://34.125.186.26/images/2_3.jpg"",""x"":960,""y"":576},{""src"":""http://34.125.186.26/images/2_4.jpg"",""x"":1122,""y"":576}]","4","","",""
"","html-button-response","8","252115","0.0-8.0","9/1/2023, 11:10:10 PM","conditionS","","1562.6000000238419","","","","","<p>How difficult was it to order the pictures?</p>","0",""
"","survey-text","9","287319","0.0-9.0","9/1/2023, 11:10:10 PM","conditionS","","35202.5","","","","","","","{""Q0"":""It was just a girl in the rain finding and using an umbrella.""}"
"","order","10","349569","0.0-10.0","9/1/2023, 11:10:10 PM","conditionS","","62249","[""3_5"",""3_6"",""3_7"",""3_8""]","[{""src"":""http://34.125.186.26/images/3_5.jpg"",""x"":636,""y"":576,""move_time"":11601},{""src"":""http://34.125.186.26/images/3_7.jpg"",""x"":798,""y"":576,""move_time"":2983},{""src"":""http://34.125.186.26/images/3_6.jpg"",""x"":960,""y"":576,""move_time"":1230},{""src"":""http://34.125.186.26/images/3_8.jpg"",""x"":1122,""y"":576,""move_time"":2328}]","[{""src"":""http://34.125.186.26/images/3_5.jpg"",""x"":636,""y"":576},{""src"":""http://34.125.186.26/images/3_7.jpg"",""x"":798,""y"":576},{""src"":""http://34.125.186.26/images/3_6.jpg"",""x"":960,""y"":576},{""src"":""http://34.125.186.26/images/3_8.jpg"",""x"":1122,""y"":576}]","4","","",""
"","html-button-response","11","351237","0.0-11.0","9/1/2023, 11:10:10 PM","conditionS","","1667.8999999761581","","","","","<p>How difficult was it to order the pictures?</p>","4",""
"","survey-text","12","369268","0.0-12.0","9/1/2023, 11:10:10 PM","conditionS","","18029.100000023842","","","","","","","{""Q0"":""The character holding the picture didn't seem to fit with the other frames.""}"
"","order","13","383871","0.0-13.0","9/1/2023, 11:10:10 PM","conditionS","","14603","[""5_2"",""5_4"",""5_1"",""5_3""]","[{""src"":""http://34.125.186.26/images/5_4.jpg"",""x"":1122,""y"":576,""move_time"":6850},{""src"":""http://34.125.186.26/images/5_1.jpg"",""x"":636,""y"":576,""move_time"":1688},{""src"":""http://34.125.186.26/images/5_2.jpg"",""x"":798,""y"":576,""move_time"":914},{""src"":""http://34.125.186.26/images/5_3.jpg"",""x"":960,""y"":576,""move_time"":1648}]","[{""src"":""http://34.125.186.26/images/5_1.jpg"",""x"":636,""y"":576},{""src"":""http://34.125.186.26/images/5_2.jpg"",""x"":798,""y"":576},{""src"":""http://34.125.186.26/images/5_3.jpg"",""x"":960,""y"":576},{""src"":""http://34.125.186.26/images/5_4.jpg"",""x"":1122,""y"":576}]","4","","",""
"","html-button-response","14","385749","0.0-14.0","9/1/2023, 11:10:10 PM","conditionS","","1876.8999999761581","","","","","<p>How difficult was it to order the pictures?</p>","0",""
"","survey-text","15","405668","0.0-15.0","9/1/2023, 11:10:10 PM","conditionS","","19917.100000023842","","","","","","","{""Q0"":""This was a cat pulling the string of the hoodie.""}"
