"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","view_history","rt","stimulus","button_pressed","responses"
"true","fullscreen","0","3965","0.0-0.0","9/4/2023, 12:09:36 PM","conditionO","","","","",""
"","instructions","1","16683","0.0-1.0","9/4/2023, 12:09:36 PM","conditionO","[{""page_index"":0,""viewing_time"":1208.300000011921},{""page_index"":1,""viewing_time"":2652.300000011921},{""page_index"":2,""viewing_time"":2349.699999988079},{""page_index"":3,""viewing_time"":2968.599999964237},{""page_index"":4,""viewing_time"":2154.5},{""page_index"":5,""viewing_time"":1384.300000011921}]","12718","","",""
"","image-button-response","2","21376","0.0-2.0","9/4/2023, 12:09:36 PM","conditionO","","4692.199999988079","images/with_no_order_2.jpeg","1",""
"","image-button-response","3","22645","0.0-3.0","9/4/2023, 12:09:36 PM","conditionO","","1267.5999999642372","images/with_no_no_order_2.jpeg","2",""
"","image-button-response","4","23970","0.0-4.0","9/4/2023, 12:09:36 PM","conditionO","","1324.800000011921","images/with_order_2.jpeg","0",""
"","instructions","5","27057","0.0-5.0","9/4/2023, 12:09:36 PM","conditionO","[{""page_index"":0,""viewing_time"":3086.699999988079}]","3086.899999976158","","",""
"","image-button-response","6","33430","0.0-6.0","9/4/2023, 12:09:36 PM","conditionO","","6371.399999976158","images/memory_example_1.jpg","1",""
"","instructions","7","36204","0.0-7.0","9/4/2023, 12:09:36 PM","conditionO","[{""page_index"":0,""viewing_time"":1868.199999988079},{""page_index"":1,""viewing_time"":905.5}]","2773.899999976158","","",""
"","image-button-response","8","41106","0.0-8.0","9/4/2023, 12:09:36 PM","conditionO","","4901.199999988079","images/non_order_2.jpeg","1",""
"","image-button-response","9","44730","0.0-9.0","9/4/2023, 12:09:36 PM","conditionO","","3622.699999988079","images/scrambled_2.jpeg","2",""
"","image-button-response","10","49043","0.0-10.0","9/4/2023, 12:09:36 PM","conditionO","","4312.399999976158","images/order_2.jpeg","1",""
"","image-button-response","11","54560","0.0-11.0","9/4/2023, 12:09:36 PM","conditionO","","5516.100000023842","images/memory_1.png","0",""
"","image-button-response","12","56480","0.0-12.0","9/4/2023, 12:09:36 PM","conditionO","","1919","images/memory_2.png","1",""
"","image-button-response","13","58379","0.0-13.0","9/4/2023, 12:09:36 PM","conditionO","","1897.7000000476837","images/memory_3.png","0",""
"","image-button-response","14","61732","0.0-14.0","9/4/2023, 12:09:36 PM","conditionO","","3352.5","images/scrambled_1.jpeg","0",""
"","image-button-response","15","65699","0.0-15.0","9/4/2023, 12:09:36 PM","conditionO","","3966.699999988079","images/non_order_1.jpeg","0",""
"","image-button-response","16","71118","0.0-16.0","9/4/2023, 12:09:36 PM","conditionO","","5417.700000047684","images/order_1.jpeg","0",""
"","image-button-response","17","74176","0.0-17.0","9/4/2023, 12:09:36 PM","conditionO","","3057.100000023842","images/memory_4.png","0",""
"","image-button-response","18","76819","0.0-18.0","9/4/2023, 12:09:36 PM","conditionO","","2642.599999964237","images/memory_5.png","1",""
"","image-button-response","19","79723","0.0-19.0","9/4/2023, 12:09:36 PM","conditionO","","2902.300000011921","images/memory_6.png","0",""
"","survey-text","20","440241","0.0-20.0","9/4/2023, 12:09:36 PM","conditionO","","360516","","","{""Q0"":""35""}"
"","survey-text","21","444574","0.0-21.0","9/4/2023, 12:09:36 PM","conditionO","","4331.200000047684","","","{""Q0"":""Male""}"
"","instructions","22","449410","0.0-22.0","9/4/2023, 12:09:36 PM","conditionO","[{""page_index"":0,""viewing_time"":4835.800000011921}]","4836.100000023842","","",""
