"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","view_history","rt","initial_locations","moves","final_locations_3","number_of_moves","responses"
"true","fullscreen","0","1981","0.0-0.0","ooo","conditionC","","","","","","",""
"","instructions","1","6096","0.0-1.0","ooo","conditionC","[{""page_index"":0,""viewing_time"":1002.7999999523163},{""page_index"":1,""viewing_time"":836.2000000476837},{""page_index"":2,""viewing_time"":1181.8999999761581},{""page_index"":3,""viewing_time"":1090.3000000715256}]","4112.200000047684","","","","",""
"","order","2","7359","0.0-2.0","ooo","conditionC","","1261","[""instructions/movie_4"",""instructions/movie_3"",""instructions/movie_2"",""instructions/movie_1"",""blank"",""blank"",""blank"",""blank"",""blank"",""blank""]","[]","[{""src"":""https://test12345.live/images/blank.jpg"",""x"":184,""y"":581},{""src"":""https://test12345.live/images/blank.jpg"",""x"":184,""y"":783},{""src"":""https://test12345.live/images/blank.jpg"",""x"":184,""y"":986},{""src"":""https://test12345.live/images/blank.jpg"",""x"":386,""y"":581},{""src"":""https://test12345.live/images/blank.jpg"",""x"":386,""y"":783},{""src"":""https://test12345.live/images/blank.jpg"",""x"":386,""y"":986},{""src"":""https://test12345.live/images/blank.jpg"",""x"":589,""y"":581},{""src"":""https://test12345.live/images/blank.jpg"",""x"":589,""y"":783},{""src"":""https://test12345.live/images/blank.jpg"",""x"":791,""y"":581},{""src"":""https://test12345.live/images/blank.jpg"",""x"":791,""y"":783}]","0",""
"","instructions","3","8506","0.0-3.0","ooo","conditionC","[{""page_index"":0,""viewing_time"":1146.0999999046326}]","1146.3999999761581","","","","",""
"","order","4","10249","0.0-4.0","ooo","conditionC","","1743","[""schematic_sequence/flight_scheme/flight_scheme_9"",""schematic_sequence/flight_scheme/flight_scheme_2"",""schematic_sequence/flight_scheme/flight_scheme_8"",""schematic_sequence/flight_scheme/flight_scheme_7"",""schematic_sequence/flight_scheme/flight_scheme_6"",""schematic_sequence/flight_scheme/flight_scheme_3"",""schematic_sequence/flight_scheme/flight_scheme_4"",""schematic_sequence/flight_scheme/flight_scheme_5"",""schematic_sequence/flight_scheme/flight_scheme_ten"",""schematic_sequence/flight_scheme/flight_scheme_1""]","[]","[{""src"":""https://test12345.live/images/blank.jpg"",""x"":184,""y"":581},{""src"":""https://test12345.live/images/blank.jpg"",""x"":184,""y"":783},{""src"":""https://test12345.live/images/blank.jpg"",""x"":184,""y"":986},{""src"":""https://test12345.live/images/blank.jpg"",""x"":386,""y"":581},{""src"":""https://test12345.live/images/blank.jpg"",""x"":386,""y"":783},{""src"":""https://test12345.live/images/blank.jpg"",""x"":386,""y"":986},{""src"":""https://test12345.live/images/blank.jpg"",""x"":589,""y"":581},{""src"":""https://test12345.live/images/blank.jpg"",""x"":589,""y"":783},{""src"":""https://test12345.live/images/blank.jpg"",""x"":791,""y"":581},{""src"":""https://test12345.live/images/blank.jpg"",""x"":791,""y"":783}]","0",""
"","order","5","10509","0.0-5.0","ooo","conditionC","","259","[""schematic_sequence/dinner_party_scheme/dinner_party_scheme_1"",""schematic_sequence/dinner_party_scheme/dinner_party_scheme_8"",""schematic_sequence/dinner_party_scheme/dinner_party_scheme_9"",""schematic_sequence/dinner_party_scheme/dinner_party_scheme_ten"",""schematic_sequence/dinner_party_scheme/dinner_party_scheme_4"",""schematic_sequence/dinner_party_scheme/dinner_party_scheme_6"",""schematic_sequence/dinner_party_scheme/dinner_party_scheme_5"",""schematic_sequence/dinner_party_scheme/dinner_party_scheme_7"",""schematic_sequence/dinner_party_scheme/dinner_party_scheme_2"",""schematic_sequence/dinner_party_scheme/dinner_party_scheme_3""]","[]","[{""src"":""https://test12345.live/images/blank.jpg"",""x"":184,""y"":581},{""src"":""https://test12345.live/images/blank.jpg"",""x"":184,""y"":783},{""src"":""https://test12345.live/images/blank.jpg"",""x"":184,""y"":986},{""src"":""https://test12345.live/images/blank.jpg"",""x"":386,""y"":581},{""src"":""https://test12345.live/images/blank.jpg"",""x"":386,""y"":783},{""src"":""https://test12345.live/images/blank.jpg"",""x"":386,""y"":986},{""src"":""https://test12345.live/images/blank.jpg"",""x"":589,""y"":581},{""src"":""https://test12345.live/images/blank.jpg"",""x"":589,""y"":783},{""src"":""https://test12345.live/images/blank.jpg"",""x"":791,""y"":581},{""src"":""https://test12345.live/images/blank.jpg"",""x"":791,""y"":783}]","0",""
"","order","6","10762","0.0-6.0","ooo","conditionC","","252","[""semantic_sequence/physical_activity_semantic/physical_activity_semantic_7"",""semantic_sequence/physical_activity_semantic/physical_activity_semantic_5"",""semantic_sequence/physical_activity_semantic/physical_activity_semantic_4"",""semantic_sequence/physical_activity_semantic/physical_activity_semantic_9"",""semantic_sequence/physical_activity_semantic/physical_activity_semantic_1"",""semantic_sequence/physical_activity_semantic/physical_activity_semantic_8"",""semantic_sequence/physical_activity_semantic/physical_activity_semantic_3"",""semantic_sequence/physical_activity_semantic/physical_activity_semantic_6"",""semantic_sequence/physical_activity_semantic/physical_activity_semantic_2"",""semantic_sequence/physical_activity_semantic/physical_activity_semantic_ten""]","[]","[{""src"":""https://test12345.live/images/blank.jpg"",""x"":184,""y"":581},{""src"":""https://test12345.live/images/blank.jpg"",""x"":184,""y"":783},{""src"":""https://test12345.live/images/blank.jpg"",""x"":184,""y"":986},{""src"":""https://test12345.live/images/blank.jpg"",""x"":386,""y"":581},{""src"":""https://test12345.live/images/blank.jpg"",""x"":386,""y"":783},{""src"":""https://test12345.live/images/blank.jpg"",""x"":386,""y"":986},{""src"":""https://test12345.live/images/blank.jpg"",""x"":589,""y"":581},{""src"":""https://test12345.live/images/blank.jpg"",""x"":589,""y"":783},{""src"":""https://test12345.live/images/blank.jpg"",""x"":791,""y"":581},{""src"":""https://test12345.live/images/blank.jpg"",""x"":791,""y"":783}]","0",""
"","order","7","11002","0.0-7.0","ooo","conditionC","","239","[""causal_sequence/dog_causal/dog_causal_ten"",""causal_sequence/dog_causal/dog_causal_4"",""causal_sequence/dog_causal/dog_causal_2"",""causal_sequence/dog_causal/dog_causal_1"",""causal_sequence/dog_causal/dog_causal_9"",""causal_sequence/dog_causal/dog_causal_6"",""causal_sequence/dog_causal/dog_causal_5"",""causal_sequence/dog_causal/dog_causal_8"",""causal_sequence/dog_causal/dog_causal_7"",""causal_sequence/dog_causal/dog_causal_3""]","[]","[{""src"":""https://test12345.live/images/blank.jpg"",""x"":184,""y"":581},{""src"":""https://test12345.live/images/blank.jpg"",""x"":184,""y"":783},{""src"":""https://test12345.live/images/blank.jpg"",""x"":184,""y"":986},{""src"":""https://test12345.live/images/blank.jpg"",""x"":386,""y"":581},{""src"":""https://test12345.live/images/blank.jpg"",""x"":386,""y"":783},{""src"":""https://test12345.live/images/blank.jpg"",""x"":386,""y"":986},{""src"":""https://test12345.live/images/blank.jpg"",""x"":589,""y"":581},{""src"":""https://test12345.live/images/blank.jpg"",""x"":589,""y"":783},{""src"":""https://test12345.live/images/blank.jpg"",""x"":791,""y"":581},{""src"":""https://test12345.live/images/blank.jpg"",""x"":791,""y"":783}]","0",""
"","order","8","11257","0.0-8.0","ooo","conditionC","","254","[""schematic_sequence/restaurant_scheme/restaurant_scheme_1"",""schematic_sequence/restaurant_scheme/restaurant_scheme_5"",""schematic_sequence/restaurant_scheme/restaurant_scheme_2"",""schematic_sequence/restaurant_scheme/restaurant_scheme_4"",""schematic_sequence/restaurant_scheme/restaurant_scheme_7"",""schematic_sequence/restaurant_scheme/restaurant_scheme_ten"",""schematic_sequence/restaurant_scheme/restaurant_scheme_8"",""schematic_sequence/restaurant_scheme/restaurant_scheme_6"",""schematic_sequence/restaurant_scheme/restaurant_scheme_9"",""schematic_sequence/restaurant_scheme/restaurant_scheme_3""]","[]","[{""src"":""https://test12345.live/images/blank.jpg"",""x"":184,""y"":581},{""src"":""https://test12345.live/images/blank.jpg"",""x"":184,""y"":783},{""src"":""https://test12345.live/images/blank.jpg"",""x"":184,""y"":986},{""src"":""https://test12345.live/images/blank.jpg"",""x"":386,""y"":581},{""src"":""https://test12345.live/images/blank.jpg"",""x"":386,""y"":783},{""src"":""https://test12345.live/images/blank.jpg"",""x"":386,""y"":986},{""src"":""https://test12345.live/images/blank.jpg"",""x"":589,""y"":581},{""src"":""https://test12345.live/images/blank.jpg"",""x"":589,""y"":783},{""src"":""https://test12345.live/images/blank.jpg"",""x"":791,""y"":581},{""src"":""https://test12345.live/images/blank.jpg"",""x"":791,""y"":783}]","0",""
"","order","9","11501","0.0-9.0","ooo","conditionC","","244","[""semantic_sequence/cat_care_semantic/cat_care_semantic_2"",""semantic_sequence/cat_care_semantic/cat_care_semantic_4"",""semantic_sequence/cat_care_semantic/cat_care_semantic_9"",""semantic_sequence/cat_care_semantic/cat_care_semantic_8"",""semantic_sequence/cat_care_semantic/cat_care_semantic_3"",""semantic_sequence/cat_care_semantic/cat_care_semantic_7"",""semantic_sequence/cat_care_semantic/cat_care_semantic_ten"",""semantic_sequence/cat_care_semantic/cat_care_semantic_1"",""semantic_sequence/cat_care_semantic/cat_care_semantic_6"",""semantic_sequence/cat_care_semantic/cat_care_semantic_5""]","[]","[{""src"":""https://test12345.live/images/blank.jpg"",""x"":184,""y"":581},{""src"":""https://test12345.live/images/blank.jpg"",""x"":184,""y"":783},{""src"":""https://test12345.live/images/blank.jpg"",""x"":184,""y"":986},{""src"":""https://test12345.live/images/blank.jpg"",""x"":386,""y"":581},{""src"":""https://test12345.live/images/blank.jpg"",""x"":386,""y"":783},{""src"":""https://test12345.live/images/blank.jpg"",""x"":386,""y"":986},{""src"":""https://test12345.live/images/blank.jpg"",""x"":589,""y"":581},{""src"":""https://test12345.live/images/blank.jpg"",""x"":589,""y"":783},{""src"":""https://test12345.live/images/blank.jpg"",""x"":791,""y"":581},{""src"":""https://test12345.live/images/blank.jpg"",""x"":791,""y"":783}]","0",""
