"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","responses","view_history","initial_locations","moves","final_locations","stimulus","button_pressed"
"true","fullscreen","0","2966","0.0-0.0","23.8.2023, 1:48:30","conditionB","","","","","","","",""
"","survey-text","1","3999","0.0-1.0","23.8.2023, 1:48:30","conditionB","1007.6999999880791","{""Q0"":""""}","","","","","",""
"","instructions","2","8002","0.0-2.0","23.8.2023, 1:48:30","conditionB","4002.099999964237","","[{""page_index"":0,""viewing_time"":781.6999999880791},{""page_index"":1,""viewing_time"":607.8999999761581},{""page_index"":2,""viewing_time"":1492.5},{""page_index"":3,""viewing_time"":1119.6000000238419}]","","","","",""
"","order","3","13674","0.0-3.0","23.8.2023, 1:48:30","conditionB","5671.100000023842","","","[""test_3"",""test_4"",""test_1"",""test_2""]","[{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":39,""y"":397,""move_time"":1321},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":200,""y"":397,""move_time"":944},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":361,""y"":397,""move_time"":991},{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":523,""y"":397,""move_time"":1589}]","[{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":39,""y"":397,""move_time"":1321},{""src"":""http://34.125.186.26/images/test_4.jpg"",""x"":200,""y"":397,""move_time"":944},{""src"":""http://34.125.186.26/images/test_2.jpg"",""x"":361,""y"":397,""move_time"":991},{""src"":""http://34.125.186.26/images/test_1.jpg"",""x"":523,""y"":397,""move_time"":1589}]","",""
"","instructions","4","18234","0.0-4.0","23.8.2023, 1:48:30","conditionB","4559.5","","[{""page_index"":0,""viewing_time"":4559.100000023842}]","","","","",""
"","order","5","19378","0.0-5.0","23.8.2023, 1:48:30","conditionB","1142.5","","","[""7_3"",""7_1"",""7_4"",""7_2""]","[]","[]","",""
"","html-button-response","6","20483","0.0-6.0","23.8.2023, 1:48:30","conditionB","1103.2999999523163","","","","","","<p>How difficult was it to order the pictures?</p>","4"
"","survey-text","7","21142","0.0-7.0","23.8.2023, 1:48:30","conditionB","658","{""Q0"":""""}","","","","","",""
"","order","8","22101","0.0-8.0","23.8.2023, 1:48:30","conditionB","958.3999999761581","","","[""2_5"",""2_6"",""2_7"",""2_8""]","[]","[]","",""
"","html-button-response","9","23062","0.0-9.0","23.8.2023, 1:48:30","conditionB","959.3999999761581","","","","","","<p>How difficult was it to order the pictures?</p>","3"
"","survey-text","10","23750","0.0-10.0","23.8.2023, 1:48:30","conditionB","686.1000000238419","{""Q0"":""""}","","","","","",""
"","order","11","24794","0.0-11.0","23.8.2023, 1:48:30","conditionB","1042.9000000357628","","","[""3_2"",""3_1"",""3_4"",""3_3""]","[]","[]","",""
"","html-button-response","12","25722","0.0-12.0","23.8.2023, 1:48:30","conditionB","926.7000000476837","","","","","","<p>How difficult was it to order the pictures?</p>","3"
"","survey-text","13","26602","0.0-13.0","23.8.2023, 1:48:30","conditionB","878.1000000238419","{""Q0"":""""}","","","","","",""
